CODI_DISTRICTE,DISTRICTE,ANY_DATA_TANCAMENT,DETALL,BARRI,FITXA_ID,LATITUD,AREA,COORDENADA_Y,COORDENADA_X,LONGITUD,DIA_DATA_ALTA,CANALS_RESPOSTA,NUMERO,ELEMENT,SECCIO_CENSAL,MES_DATA_TANCAMENT,TIPUS_VIA,ANY_DATA_ALTA,MES_DATA_ALTA,SUPORT,CARRER,CODI_BARRI,_id,TIPUS,DIA_DATA_TANCAMENT
7,Horta-Guinardó,2015,Contenidor escombraries desplaçat,el Carmel,115307,41.42723902,Recollida i neteja de l'espai urbà,4586529.967,429495.8411,2.156209829,1,NO VOL RESPOSTA,101,Recollida brossa domiciliària,71,1,Carrer,2015,1,TELÈFON,Dante Alighieri,37,1,INCIDENCIA,1
,,2015,Rec. animals morts en espais privats,,115308,,Gestions municipals,,,,1,IMMEDIATA,,Recollida i neteja de l'espai urbà,,1,,2015,1,TELÈFON,,,2,PETICIO DE SERVEI,1
3,Sants-Montjuïc,2015,Emergència especial,el Poble Sec,115309,41.37341232,Manteniment de l'espai urbà,4580546.788,430202.4508,2.165355437,1,NO VOL RESPOSTA,16,Emergència ciutat,15,1,Carrer,2015,1,TELÈFON,Blai,11,3,INCIDENCIA,1
5,Sarrià-Sant Gervasi,2015,Neteja de carrers o places (ús app),Sant Gervasi - Galvany,115314,41.3973178,Recollida i neteja de l'espai urbà,4583214.721,428791.2768,2.14816871,1,SMS,89,Neteja carrers i/o places,69,1,Carrer,2015,1,MÒBIL,Marià Cubí,26,4,INCIDENCIA,1
2,Eixample,2015,Objectes a netejar / retirar,el Fort Pienc,115311,41.39264765,Recollida i neteja de l'espai urbà,4582671.408,431359.1507,2.178945291,1,NO VOL RESPOSTA,20,Neteja carrers i/o places,6,1,Passeig,2015,1,TELÈFON,Sant Joan,5,5,INCIDENCIA,1
5,Sarrià-Sant Gervasi,2015,Neteja de carrers o places (ús app),Sant Gervasi - Galvany,115312,41.39253126,Recollida i neteja de l'espai urbà,4582690.107,428099.5818,2.139957516,1,EMAIL,1,Neteja carrers i/o places,57,1,Plaça,2015,1,MÒBIL,Joan Llongueras,26,6,INCIDENCIA,1
6,Gràcia,2015,Objectes a netejar / retirar,Vallcarca i els Penitents,115313,41.41682206,Recollida i neteja de l'espai urbà,4585387.119,428098.7662,2.13962738,1,SMS,7,Neteja carrers i/o places,6,1,Carrer,2015,1,TELÈFON,Ca l'Alegre,28,7,INCIDENCIA,1
10,Sant Martí,2015,Vorera tapa,el Poblenou,115310,41.40373197,Manteniment de l'espai urbà,4583886.556,433017.3725,2.198643969,1,NO VOL RESPOSTA,210,Voreres,66,1,Carrer,2015,1,TELÈFON,Pere IV,68,8,INCIDENCIA,1
5,Sarrià-Sant Gervasi,2015,Nova parada BUS,Sarrià,115316,41.40321817,Transports públics,4583897.084,426072.5638,2.115566547,8,CARTA,7,Autobusos TMB,5,1,Carrer,2014,12,TELÈFON,Can Caralleu,23,9,SUGGERIMENT,2
,,2015,Portal de tràmits,,115433,,Portal de tràmits,,,,9,EMAIL,,Relacions amb l'Ajuntament,,1,,2014,12,WEB,,,10,CONSULTA,2
,,2015,Carpeta ciutadà,,115424,,Portal de tràmits,,,,9,EMAIL,,Relacions amb l'Ajuntament,,1,,2014,12,WEB,,,11,CONSULTA,2
,,2015,Portal de tràmits,,115442,,Portal de tràmits,,,,10,EMAIL,,Relacions amb l'Ajuntament,,1,,2014,12,WEB,,,12,CONSULTA,2
,,2015,Desacord subvenció,,115483,,Mobilitat,,,,23,EMAIL,,Àrea verda,,1,,2014,12,TELÈFON,,,60,QUEIXA,2
,,2015,Portal de tràmits,,115445,,Portal de tràmits,,,,10,EMAIL,,Relacions amb l'Ajuntament,,1,,2014,12,WEB,,,13,CONSULTA,2
,,2015,Carpeta ciutadà,,115449,,Portal de tràmits,,,,12,EMAIL,,Relacions amb l'Ajuntament,,1,,2014,12,WEB,,,14,CONSULTA,2
