CODI_DISTRICTE,DISTRICTE,ANY_DATA_TANCAMENT,DETALL,BARRI,FITXA_ID,LATITUD,AREA,COORDENADA_Y,COORDENADA_X,LONGITUD,DIA_DATA_ALTA,CANALS_RESPOSTA,NUMERO,ELEMENT,SECCIO_CENSAL,MES_DATA_TANCAMENT,TIPUS_VIA,ANY_DATA_ALTA,MES_DATA_ALTA,SUPORT,CARRER,CODI_BARRI,_id,TIPUS,DIA_DATA_TANCAMENT
3,Sants-Montjuïc,2014,Pilones incidències,la Font de la Guatlla,68651,41.37169206,Manteniment de l'espai urbà,4580372.291,428509.3348,2.145131737,8,EMAIL,284,Pilones,44,8,Gran Via,2014,8,WEB,Corts Catalanes,14,1,INCIDENCIA,13
1,Ciutat Vella,2014,Pilones incidències,"Sant Pere, Santa Caterina i la Ribera",68652,41.3890206,Manteniment de l'espai urbà,4582269.709,431253.0425,2.177721785,8,SMS,59,Pilones,52,8,Carrer,2014,8,TELÈFON,Sant Pere Més Alt,4,2,INCIDENCIA,13
1,Ciutat Vella,2014,Pilones incidències,"Sant Pere, Santa Caterina i la Ribera",68653,41.38744874,Manteniment de l'espai urbà,4582096.818,431081.4529,2.175689286,8,EMAIL,10,Pilones,50,8,Carrer,2014,8,TELÈFON,Sant Pere Més Alt,4,3,INCIDENCIA,13
4,Les Corts,2014,Bancs trencats,la Maternitat i Sant Ramon,68655,41.38058459,Manteniment de l'espai urbà,4581374.239,427042.4991,2.127473001,8,EMAIL,15,Bancs,36,8,Carrer,2014,8,WEB,Maria Barrientos,20,4,INCIDENCIA,13
1,Ciutat Vella,2014,Pilones incidències,la Barceloneta,68660,41.3802806,Manteniment de l'espai urbà,4581290.002,432242.5896,2.189666118,8,NO VOL RESPOSTA,39,Pilones,37,8,Carrer,2014,8,TELÈFON,Atlàntida,3,5,INCIDENCIA,13
8,Nou Barris,2014,Enllumenat incidències,la Guineueta,68662,41.43755812,Manteniment de l'espai urbà,4587662.947,430815.8737,2.171876629,8,IMMEDIATA,45,Enllumenat públic,55,8,Carrer,2014,8,TELÈFON,Lorena,48,6,INCIDENCIA,13
1,Ciutat Vella,2014,Jocs infantils incidències,la Barceloneta,68425,41.37953667,Manteniment de l'espai urbà,4581207.855,432194.4649,2.189099824,8,SMS,48,Jocs infantils,39,8,Carrer,2014,8,MÒBIL,Baluard,3,7,INCIDENCIA,13
6,Gràcia,2014,Claveguerò particular incidències,el Coll,68432,41.41608242,Manteniment de l'espai urbà,4585297.855,428821.3657,2.148283611,8,SMS,17,Clavegueram,17,8,Carrer,2014,8,TELÈFON,Torrent del Remei,29,8,INCIDENCIA,13
9,Sant Andreu,2014,Arbrat tractament plaga o malura,Sant Andreu,68416,41.43550035,Manteniment de l'espai urbà,4587422.432,432086.4878,2.187111232,8,SMS,50,Arbrat,42,8,Carrer,2014,8,TELÈFON,Pons i Gallarza,60,9,INCIDENCIA,13
,,2014,Devolució sol·licitada i no efectuada,,68489,,Hisenda,,,,8,EMAIL,,Devolucions,,8,,2014,8,TELÈFON,,,10,QUEIXA,13
3,Sants-Montjuïc,2014,"Parcs, jardins i zones verdes disconforme servei neteja",la Marina de Port,68496,41.35965195,Recollida i neteja de l'espai urbà,4579037.257,428330.3154,2.143149064,8,EMAIL,0,"Parcs, jardins i zones verdes",32,8,Jardins,2014,8,TELÈFON,Ca l'Alena,13,11,QUEIXA,13
,,2014,Activitats d'educació ambiental- localitzacions,,68618,,Medi ambient,,,,12,EMAIL,,Parcs i jardins,,8,,2014,8,WEB,,,82,CONSULTA,13
4,Les Corts,2014,Jocs infantils incidències,les Corts,68502,41.38904091,Manteniment de l'espai urbà,4582306.59,427696.1902,2.135178624,8,EMAIL,20,Jocs infantils,22,8,Carrer,2014,8,MÒBIL,Constança,19,12,INCIDENCIA,13
,,2014,Barcelona Informació,,68443,,Portal de tràmits,,,,8,EMAIL,,Relacions amb l'Ajuntament,,8,,2014,8,WEB,,,13,CONSULTA,13
7,Horta-Guinardó,2014,Arbrat incidències,el Carmel,68529,41.41987953,Manteniment de l'espai urbà,4585712.793,429501.0649,2.156367611,9,EMAIL,181,Arbrat,64,8,Carrer,2014,8,WEB,Murtra,37,14,INCIDENCIA,13
,,2014,Portal de tràmits,,68576,,Portal de tràmits,,,,9,EMAIL,,Relacions amb l'Ajuntament,,8,,2014,8,WEB,,,15,CONSULTA,13
,,2014,Comportament personal autobusos TMB,,68388,,Transports públics,,,,9,CARTA,,Autobusos TMB,,8,,2014,8,TELÈFON,,,16,QUEIXA,13
1,Ciutat Vella,2014,Disconforme servei de neteja carrers / places,la Barceloneta,68609,41.37913325,Recollida i neteja de l'espai urbà,4581162.778,432224.9826,2.189469798,9,EMAIL,16,Neteja carrers i/o places,39,8,Carrer,2014,8,TELÈFON,Sant Carles,3,17,QUEIXA,13
3,Sants-Montjuïc,2014,Enllumenat tapa,el Poble Sec,68409,41.37025067,Manteniment de l'espai urbà,4580207.036,429040.4244,2.151501049,9,EMAIL,4,Enllumenat públic,24,8,Plaça,2014,8,WEB,Josep Puig i Cadafalch,11,18,INCIDENCIA,13
8,Nou Barris,2014,Barana incidències,la Guineueta,68663,41.43798224,Manteniment de l'espai urbà,4587713.619,430442.4245,2.167401118,9,EMAIL,166,Baranes,53,8,Passeig,2014,8,MÒBIL,Valldaura,48,19,INCIDENCIA,13
,,2014,Disconformitat servei autobusos TMB,,68390,,Transports públics,,,,10,EMAIL,,Autobusos TMB,,8,,2014,8,TELÈFON,,,20,QUEIXA,13
8,Nou Barris,2014,Enllumenat entra llum a habitatge,Porta,68648,41.43683195,Manteniment de l'espai urbà,4587579.01,431162.9316,2.176040007,10,IMMEDIATA,40,Enllumenat públic,32,8,Carrer,2014,8,WEB,Selva,45,21,INCIDENCIA,13
