CODI_DISTRICTE,DISTRICTE,ANY_DATA_TANCAMENT,DETALL,BARRI,FITXA_ID,LATITUD,AREA,COORDENADA_Y,COORDENADA_X,LONGITUD,DIA_DATA_ALTA,CANALS_RESPOSTA,NUMERO,ELEMENT,SECCIO_CENSAL,MES_DATA_TANCAMENT,TIPUS_VIA,ANY_DATA_ALTA,MES_DATA_ALTA,SUPORT,CARRER,CODI_BARRI,_id,TIPUS,DIA_DATA_TANCAMENT
7,Horta-Guinardó,2022,Contenidor orgànic/rebuig desplaçat,Sant Genís dels Agudells,16899987,,Recollida i neteja de l'espai urbà,4586741,427481,,1,NO VOL RESPOSTA,61,Recollida orgànic / rebuig,90,1,Avinguda,2022,1,TELÈFON,Av D'elies Pagès,39,1,INCIDENCIA,1
8,Nou Barris,2022,Semàfor incidències,Vilapicina i la Torre Llobeta,16899992,,Manteniment de l'espai urbà,4586824,431665,,1,IMMEDIATA,103,Semàfors,19,1,Passeig,2022,1,TELÈFON,Pg de Fabra i Puig,44,2,INCIDENCIA,1
6,Gràcia,2022,Calçada incidències,la Vila de Gràcia,16899985,,Manteniment de l'espai urbà,4583402,429299,,1,EMAIL,100,Calçada,,1,,2022,1,WEB,Trav de Gràcia,31,3,INCIDENCIA,1
9,Sant Andreu,2022,Objectes a netejar / retirar,la Sagrera,16899988,,Recollida i neteja de l'espai urbà,4586503,432055,,1,SMS,7,Neteja carrers i/o places,156,1,Carrer,2022,1,TELÈFON,de Torroella de Montgrí,61,4,INCIDENCIA,1
7,Horta-Guinardó,2022,Escala mecànica incidències,el Carmel,16899986,,Manteniment de l'espai urbà,4585974,429264,,1,EMAIL,86,Escales mecàniques,62,1,Carrer,2022,1,TELÈFON,de la Murtra,37,5,INCIDENCIA,1
7,Horta-Guinardó,2022,Semàfor incidències,el Guinardó,16899991,,Manteniment de l'espai urbà,4585628,431482,,1,IMMEDIATA,6,Semàfors,,1,,2022,1,WEB,de Teodor Llorente,35,6,INCIDENCIA,1
,,2022,Rec. animals morts en espais privats,,16899989,,Gestions municipals,,,,1,IMMEDIATA,,Recollida i neteja de l'espai urbà,,1,,2022,1,TELÈFON,,,7,PETICIO DE SERVEI,1
10,Sant Martí,2022,Semàfor incidències,el Camp de l'Arpa del Clot,16899990,,Manteniment de l'espai urbà,4584986,431267,,1,IMMEDIATA,286,Semàfors,,1,,2022,1,WEB,de Sant Antoni Maria Claret,64,8,INCIDENCIA,1
10,Sant Martí,2022,Molèsties gossos a habitatges,el Besòs i el Maresme,16889988,,Prevenció i seguretat,4584980,434362,,31,TELEFÒNIC,494,Incompliment d'ordenances a l'espai privat,91,1,Carrer,2021,7,RECLAMACIÓ INTERNA,de Pallars,70,9,QUEIXA,2
3,Sants-Montjuïc,2022,Molèsties gossos a la via pública i/o parcs,Sants - Badal,16900023,,Prevenció i seguretat,4580634,426909,,18,EMAIL,30,Incompliment d'ordenances a l'espai públic,,1,Carrer,2021,8,RECLAMACIÓ INTERNA,de Bonsoms,17,10,QUEIXA,2
,,2022,Tracte rebut,,16889985,,Prevenció i seguretat,,,,4,CARTA,,Actuació guàrdia urbana,,1,,2021,9,INSTÀNCIA,,,11,QUEIXA,2
3,Sants-Montjuïc,2022,Espais privats incidències,Sants,16889990,,Manteniment de l'espai urbà,4580635,427646,,18,EMAIL,45,Espais privats,,1,Carrer,2021,10,RECLAMACIÓ INTERNA,dels Jocs Florals,18,12,INCIDENCIA,2
6,Gràcia,2022,Molèsties gossos a habitatges,el Coll,16889989,,Prevenció i seguretat,4585492,428780,,8,EMAIL,80,Incompliment d'ordenances a l'espai privat,14,1,Passeig,2021,11,RECLAMACIÓ INTERNA,Pg de la Mare de Déu del Coll,29,13,QUEIXA,2
3,Sants-Montjuïc,2022,Orins  excrements animals,Sants,16889986,,Recollida i neteja de l'espai urbà,4580488,427653,,11,EMAIL,60,Neteja carrers i/o places,,1,Carrer,2021,11,WEB,de Burgos,18,14,INCIDENCIA,2
