CODI_DISTRICTE,DISTRICTE,ANY_DATA_TANCAMENT,DETALL,BARRI,FITXA_ID,LATITUD,AREA,COORDENADA_Y,COORDENADA_X,LONGITUD,DIA_DATA_ALTA,CANALS_RESPOSTA,NUMERO,ELEMENT,SECCIO_CENSAL,MES_DATA_TANCAMENT,TIPUS_VIA,ANY_DATA_ALTA,MES_DATA_ALTA,SUPORT,CARRER,CODI_BARRI,_id,TIPUS,DIA_DATA_TANCAMENT
3,Sants-Montjuïc,2016,Disconforme servei de neteja carrers / places,la Marina de Port,249606,41.36212359,Recollida i neteja de l'espai urbà,4579312.661,428231.1953,2.141931573,21,CARTA,63,Neteja carrers i/o places,39,1,Carrer,2015,12,TELÈFON,Foneria,13,1,QUEIXA,1
5,Sarrià-Sant Gervasi,2016,Disconforme servei de neteja carrers / places,les Tres Torres,249604,41.40179048,Recollida i neteja de l'espai urbà,4583727.945,427120.2991,2.128120126,21,EMAIL,72,Neteja carrers i/o places,30,1,Carrer,2015,12,WEB,Calatrava,24,2,QUEIXA,1
2,Eixample,2016,"Orins, excrements animals",Sant Antoni,249615,41.37586703,Recollida i neteja de l'espai urbà,4580821.582,429969.0695,2.162533184,21,SMS,14,Neteja carrers i/o places,172,1,Carrer,2015,12,TELÈFON,Viladomat,10,3,INCIDENCIA,1
2,Eixample,2016,Disconforme servei de neteja carrers / places,l'Antiga Esquerra de l'Eixample,249616,41.39015932,Recollida i neteja de l'espai urbà,4582412.364,429564.1159,2.157506119,21,EMAIL,197,Neteja carrers i/o places,88,1,Carrer,2015,12,TELÈFON,Mallorca,8,4,QUEIXA,1
7,Horta-Guinardó,2016,Disconforme servei de neteja carrers / places,el Guinardó,249617,41.4196096,Recollida i neteja de l'espai urbà,4585666.666,431179.5351,2.176456422,21,EMAIL,187,Neteja carrers i/o places,33,1,Ronda,2015,12,WEB,Guinardó,35,5,QUEIXA,1
6,Gràcia,2016,Disconforme servei de neteja carrers / places,Vallcarca i els Penitents,249618,41.41931587,Recollida i neteja de l'espai urbà,4585665.291,427969.7151,2.138050192,21,CARTA,0,Neteja carrers i/o places,10,1,Carrer,2015,12,TELÈFON,Sant Onofre,28,6,QUEIXA,1
8,Nou Barris,2016,"Orins, excrements animals",la Prosperitat,249605,41.44423624,Recollida i neteja de l'espai urbà,4588394.646,431844.6638,2.184107339,21,EMAIL,77,Neteja carrers i/o places,99,1,Carrer,2015,12,TELÈFON,Vinyar,52,7,INCIDENCIA,1
7,Horta-Guinardó,2016,Disconforme servei de neteja carrers / places,el Carmel,249609,41.41985672,Recollida i neteja de l'espai urbà,4585710.507,429475.7048,2.156064436,21,CARTA,133,Neteja carrers i/o places,64,1,Carrer,2015,12,TELÈFON,Santuari,37,8,QUEIXA,1
2,Eixample,2016,Disconforme servei de neteja carrers / places,la Nova Esquerra de l'Eixample,249608,41.38105803,Recollida i neteja de l'espai urbà,4581409.986,428732.696,2.147680345,21,CARTA,27,Neteja carrers i/o places,134,1,Carrer,2015,12,TELÈFON,València,9,9,QUEIXA,1
10,Sant Martí,2016,"Orins, excrements animals",el Camp de l'Arpa del Clot,249607,41.40896287,Recollida i neteja de l'espai urbà,4584480.271,431633.2948,2.182019899,21,EMAIL,294,Neteja carrers i/o places,15,1,Carrer,2015,12,TELÈFON,Independència,64,10,INCIDENCIA,1
,,2016,Vehicle elèctric incidències,,249630,,Mobilitat,,,,31,NO VOL RESPOSTA,,Vehicles elèctrics,,1,,2015,12,TELÈFON,,,11,INCIDENCIA,1
,,2016,Rec. animals morts en espais privats,,249619,,Gestions municipals,,,,31,IMMEDIATA,,Recollida i neteja de l'espai urbà,,1,,2015,12,TELÈFON,,,12,PETICIO DE SERVEI,1
3,Sants-Montjuïc,2016,Recollida animals morts espai públic,la Marina de Port,249625,41.36520127,Recollida i neteja de l'espai urbà,4579654.193,428249.267,2.142107211,31,NO VOL RESPOSTA,21,Recollida animals morts,39,1,Carrer,2015,12,TELÈFON,Segura,13,13,INCIDENCIA,1
9,Sant Andreu,2016,Arbrat viari i espais verds,la Trinitat Vella,249626,41.45138126,Manteniment de l'espai urbà,4589182.168,432461.1138,2.191398132,31,EMAIL,16,Arbrat,2,1,Carrer,2015,12,MÒBIL,Alt,57,14,INCIDENCIA,1
7,Horta-Guinardó,2016,Papereres,el Carmel,249610,41.42079971,Manteniment de l'espai urbà,4585814.523,429545.9587,2.156892931,31,EMAIL,54,Papereres,65,1,Carrer,2015,12,MÒBIL,Alcalde de Zalamea,37,15,INCIDENCIA,1
5,Sarrià-Sant Gervasi,2016,Objectes a netejar / retirar,el Putxet i el Farró,249611,41.41006458,Recollida i neteja de l'espai urbà,4584633.215,428464.2101,2.144088965,31,EMAIL,68,Neteja carrers i/o places,91,1,Carrer,2015,12,TELÈFON,Ferran Puig,27,16,INCIDENCIA,1
3,Sants-Montjuïc,2016,Vorera tapa,Sants,249612,41.37387966,Manteniment de l'espai urbà,4580624.622,427558.1282,2.133728524,31,EMAIL,75,Voreres,96,1,Carrer,2015,12,WEB,Antoni de Capmany,18,17,INCIDENCIA,1
8,Nou Barris,2016,"Orins, excrements humans",la Guineueta,249629,41.43755812,Recollida i neteja de l'espai urbà,4587662.947,430815.8737,2.171876629,1,EMAIL,45,Neteja carrers i/o places,55,1,Carrer,2016,1,TELÈFON,Lorena,48,18,INCIDENCIA,1
2,Eixample,2016,Recollida mobles abandonats al carrer,Sant Antoni,249628,41.3791494,Recollida i neteja de l'espai urbà,4581189.505,429609.2187,2.158187614,1,IMMEDIATA,90,Recollida de mobles i trastos vells,161,1,Carrer,2016,1,TELÈFON,Viladomat,10,19,INCIDENCIA,1
5,Sarrià-Sant Gervasi,2016,Objectes a netejar / retirar,el Putxet i el Farró,249627,41.40221659,Recollida i neteja de l'espai urbà,4583759.897,428662.7117,2.146566681,1,SMS,35,Neteja carrers i/o places,81,1,Carrer,2016,1,TELÈFON,Santjoanistes,27,20,INCIDENCIA,1
10,Sant Martí,2016,Contenidor escombraries desplaçat,el Poblenou,249624,41.40364792,Recollida i neteja de l'espai urbà,4583878.665,432861.7532,2.196783246,1,NO VOL RESPOSTA,176,Recollida brossa domiciliària,66,1,Carrer,2016,1,TELÈFON,Sancho de Ávila,68,21,INCIDENCIA,1
